Општина,година,број на деца
Чешиново - Облешево,2019,97
Чучер - Сандево,2019,-
Штип,2019,1387
Република Македонија,2020,26589
Аеродром,2020,1769
Бутел,2020,777
Гази Баба,2020,1423
Ѓорче Петров,2020,1065
Карпош,2020,2503
Кисела Вода,2020,2221
Сарај,2020,40
Центар,2020,2014
Чаир,2020,739
Шуто Оризари,2020,190
Арачиново,2020,-
Берово,2020,153
Битола,2020,826
Богданци,2020,127
Боговиње,2020,-
Босилово,2020,-
Брвеница,2020,25
Валандово,2020,175
Василево,2020,57
Вевчани,2020,37
Велес,2020,1089
Виница,2020,312
Вранештица,2020,-
Врапчиште,2020,55
Гевгелија,2020,642
Гостивар,2020,494
Градско,2020,-
Дебар,2020,222
Дебарца,2020,-
Делчево,2020,297
Демир Капија,2020,80
Демир Хисар,2020,115
Дојран,2020,26
Долнени,2020,-
Другово,2020,-
Желино,2020,-
Зајас,2020,-
Зелениково,2020,-
Зрновци,2020,34
Илинден,2020,296
Јегуновце,2020,23
Кавадарци,2020,608
Карбинци,2020,48
Кичево,2020,249
Конче,2020,13
Кочани,2020,291
Кратово,2020,68
Крива Паланка,2020,174
Кривогаштани,2020,29
Крушево,2020,69
Куманово,2020,1213
Липково,2020,28
Лозово,2020,-
Маврово и Ростуша,2020,-
Македонска Каменица,2020,48
Македонски Брод,2020,74
Могила,2020,-
Неготино,2020,305
Новаци,2020,-
Ново Село,2020,46
Осломеј,2020,-
Охрид,2020,817
Петровец,2020,136
Пехчево,2020,86
Пласница,2020,-
Прилеп,2020,1084
Пробиштип,2020,190
Радовиш,2020,469
Ранковце,2020,-
Ресен,2020,96
Росоман,2020,92
Свети Николе,2020,177
Сопиште,2020,-
Старо Нагоричане,2020,-
Струга,2020,199
Струмица,2020,546
Студеничани,2020,-
Теарце,2020,-
Тетово,2020,522
Центар Жупа,2020,-
Чашка,2020,-
Чешиново - Облешево,2020,91
Чучер - Сандево,2020,-
Штип,2020,995
Република Македонија,2021,31293
Аеродром,2021,1959
Бутел,2021,1009
Гази Баба,2021,1468
Ѓорче Петров,2021,805
Карпош,2021,2757
Кисела Вода,2021,1874
Сарај,2021,159
Центар,2021,2064
Чаир,2021,1109
Шуто Оризари,2021,84
Арачиново,2021,-
Берово,2021,223
Битола,2021,1266
Богданци,2021,212
Боговиње,2021,-
Босилово,2021,-
Брвеница,2021,43
Валандово,2021,219
Василево,2021,83
Вевчани,2021,43
Велес,2021,1132
Виница,2021,297
Вранештица,2021,-
Врапчиште,2021,61
Гевгелија,2021,702
Гостивар,2021,676
Градско,2021,-
Дебар,2021,290
Дебарца,2021,-
Делчево,2021,305
Демир Капија,2021,91
Демир Хисар,2021,106
Дојран,2021,47
Долнени,2021,-
Другово,2021,-
Желино,2021,-
Зајас,2021,-
Зелениково,2021,-
Зрновци,2021,47
Илинден,2021,426
Јегуновце,2021,35
Кавадарци,2021,1009
Карбинци,2021,49
Кичево,2021,405
Конче,2021,14
Кочани,2021,554
Кратово,2021,83
Крива Паланка,2021,272
Кривогаштани,2021,59
Крушево,2021,69
Куманово,2021,1263
Липково,2021,44
Лозово,2021,-
Маврово и Ростуша,2021,-
Македонска Каменица,2021,143
Македонски Брод,2021,82
Могила,2021,24
Неготино,2021,545
Новаци,2021,29
Ново Село,2021,64
Осломеј,2021,-
Охрид,2021,729
Петровец,2021,129
Пехчево,2021,89
Пласница,2021,-
Прилеп,2021,1165
Пробиштип,2021,271
Радовиш,2021,480
Ранковце,2021,-
Ресен,2021,196
Росоман,2021,87
Свети Николе,2021,315
Сопиште,2021,30
Старо Нагоричане,2021,-
Струга,2021,519
Струмица,2021,990
Студеничани,2021,-
Теарце,2021,-
Тетово,2021,755
Центар Жупа,2021,-
Чашка,2021,-
Чешиново - Облешево,2021,112
Чучер - Сандево,2021,-
Штип,2021,1126
Република Македонија,2022,35932
Аеродром,2022,2621
Бутел,2022,1150
Гази Баба,2022,1691
Ѓорче Петров,2022,1277
Карпош,2022,3161
Кисела Вода,2022,2165
Сарај,2022,160
Центар,2022,2235
Чаир,2022,1428
Шуто Оризари,2022,144
Арачиново,2022,-
Берово,2022,218
Битола,2022,1492
Богданци,2022,237
Боговиње,2022,-
Босилово,2022,-
Брвеница,2022,125
Валандово,2022,243
Василево,2022,94
Вевчани,2022,48
Велес,2022,1161
Виница,2022,315
Вранештица,2022,-
Врапчиште,2022,98
Гевгелија,2022,717
Гостивар,2022,748
Градско,2022,-
Дебар,2022,339
Дебарца,2022,-
Делчево,2022,326
Демир Капија,2022,101
Демир Хисар,2022,119
Дојран,2022,40
Долнени,2022,-
Другово,2022,-
Желино,2022,-
Зајас,2022,-
Зелениково,2022,-
Зрновци,2022,44
Илинден,2022,491
Јегуновце,2022,62
Кавадарци,2022,1168
Карбинци,2022,53
Кичево,2022,386
Конче,2022,20
Кочани,2022,716
Кратово,2022,83
Крива Паланка,2022,271
Кривогаштани,2022,55
Крушево,2022,63
Куманово,2022,1362
Липково,2022,48
Лозово,2022,39
Маврово и Ростуша,2022,-
Македонска Каменица,2022,148
Македонски Брод,2022,90
Могила,2022,47
Неготино,2022,533
Новаци,2022,30
Ново Село,2022,81
Осломеј,2022,-
Охрид,2022,859
Петровец,2022,160
Пехчево,2022,93
Пласница,2022,-
Прилеп,2022,1240
Пробиштип,2022,327
Радовиш,2022,451
Ранковце,2022,-
Ресен,2022,213
Росоман,2022,100
Свети Николе,2022,375
Сопиште,2022,44
Старо Нагоричане,2022,-
Струга,2022,602
Струмица,2022,780
Студеничани,2022,-
Теарце,2022,-
Тетово,2022,1157
Центар Жупа,2022,-
Чашка,2022,24
Чешиново - Облешево,2022,123
Чучер - Сандево,2022,-
Штип,2022,1141
